nation,region,county,UVB,RR
1,1,1,-2.9057,1.5423060404
1,2,2,-3.2075,1.0005503027
1,2,3,-2.8038,1.0963757258
1,2,4,-3.0069,0.7810655187
1,2,5,-3.0069,1.3134980371
1,2,6,-3.4175,0.5281298644
1,3,7,-2.6671,1.4307228916
1,3,8,-2.6671,0.2253676874
1,3,9,-3.1222,0.647452373
1,3,10,-2.4852,0.805657506
1,3,11,-2.5293,0.6096631611
2,4,12,-1.1375,1.4439096631
2,4,13,-1.3977,1.4926993432
2,4,14,-0.4386,1.3485586185
2,4,15,-1.0249,1.2011496718
2,5,16,-0.5033,1.9536453246
2,5,17,-1.4609,1.5164501879
2,5,18,-1.8956,1.5680779368
2,5,19,-2.5541,1.5611827521
2,5,20,-1.9671,1.934610176
2,5,21,-2.3444,1.6761286834
2,5,22,-0.6578,1.8107451749
2,6,23,-3.8836,2.5459121859
2,7,24,-4.4592,1.7837025911
2,8,25,-4.8576,2.4089669315
2,9,26,-2.6027,1.6019988242
2,9,27,-3.5346,1.3619524951
2,10,28,-4.0251,1.9160493827
2,10,29,-3.9857,1.5587745487
2,10,30,-4.4592,1.6534756057
2,10,31,-4.1117,1.299992353
2,11,32,-3.5346,1.3055972014
2,11,33,-3.2736,1.0465681629
2,11,34,-3.8126,1.3037809648
2,11,35,-3.6015,1.0450827057
2,11,36,-3.5991,1.3189039995
2,12,37,-2.9414,1.5631661219
2,12,38,-2.2504,1.7247326664
2,12,39,-2.3269,1.6318508596
2,13,40,-2.0662,1.2634618856
2,14,41,-5.1393,1.9835612363
3,15,42,-5.7887,2.6490234103
3,15,43,-5.8989,2.1915294837
3,15,44,-5.245,2.3255813953
3,16,45,-5.1866,2.3348652327
3,16,46,-5.217,2.5173819228
3,16,47,-5.0981,1.9486846379
3,17,48,-5.4778,1.9886958342
3,17,49,-5.217,1.2616704517
3,17,50,-5.5612,1.5547493892
3,17,51,-5.8439,1.5188633023
3,17,52,-6.0623,1.3828763829
3,17,53,-5.9509,2.1941397028
